TxHash,BlockHeight,Sender,TxType
333F590766E853186CBC9E2D5743A03D3F7F5DC10845C786DA56CB4AE33952EC,7605515,,staking/MsgEditValidator
D86DFAA943748A915787B12F79CC5450E9885CA091C68663E11D2ED9E0814E90,7605407,,staking/MsgEditValidator
F66D65D9CDC578C4C0F24596926EFFE475051FEC641076EA583F97171F134733,7603540,,staking/MsgEditValidator
E07A0DE6EC650F52E69F53BF19F13A1E677A2DB3621E7CFC5FA83AF3EA5E5C38,7603411,,staking/MsgEditValidator
7F6A83FF560DDD37C544CE269F4124E13A32C5E323D40B40B2FA0138EAF36A0C,7603388,,staking/MsgEditValidator
613B967F509C7CFEB9C9DB752E6E56A1B24C6DA6190DFEB28FA5E980CB5DCE4C,7602866,,staking/MsgEditValidator
8881D3EDA4DD6D8649DC50DCB2D0A9B1B2A7B54F15F68D331059338F06BBECBB,7602571,,staking/MsgEditValidator
