TxHash,BlockHeight,Sender,ask_denom,burner,tokens_burnt,minter,tokens_minted,offer_coin,trader,recipient,swap_coin,swap_fee
07433E3BAD5FAD4BD3D92E96BDCA1A1A7AD871305AC43676C6AD2F57B1745B13,7595343,,uluna,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,3660000000uusd,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,2727985661uluna,3660000000uusd,terra1y5j7rpf4vsgnrvrtua7hx86akl39ns5w60kafw,terra17vdcknctx20fxzrnuj685a9gc7h62yx3erfxtz,2337255978uluna,390729683uluna
D41CC093CE1998BB187DD6EAC7F71B8272A1AD0F099948216930B5AB1B2846EF,7595271,,uluna,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,3000000000uusd,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,2138515449uluna,3000000000uusd,terra1y5j7rpf4vsgnrvrtua7hx86akl39ns5w60kafw,terra17vdcknctx20fxzrnuj685a9gc7h62yx3erfxtz,1712734911uluna,425780538uluna
24381329F1D4E940F6A4204942BD992661D29DA5035C0D749EFEC37DA9253A41,7595202,,uluna,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,2000000000uusd,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,1862331533uluna,2000000000uusd,terra1y5j7rpf4vsgnrvrtua7hx86akl39ns5w60kafw,terra17vdcknctx20fxzrnuj685a9gc7h62yx3erfxtz,1489891931uluna,372439602uluna
503D3CA62DAE7A815E492A8537E11BE7B6B7A8F346F8CF79A04416ADBA704DC8,7595101,,uluna,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,1000000000uusd,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,978067366uluna,1000000000uusd,terra1y5j7rpf4vsgnrvrtua7hx86akl39ns5w60kafw,terra17vdcknctx20fxzrnuj685a9gc7h62yx3erfxtz,771374170uluna,206693196uluna
683971A46131966CE14513261E56BF45748BDE485E0482E8072A930FDEA0CA46,7594733,,uluna,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,900000uusd,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,768573uluna,900000uusd,terra1y5j7rpf4vsgnrvrtua7hx86akl39ns5w60kafw,terra17vdcknctx20fxzrnuj685a9gc7h62yx3erfxtz,589778uluna,178795uluna
2FC449FFD68FBA91EB9841E4E341D9CA403276DFBA120F07F1337E11DCD1F1D9,7590561,,uusd,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,50501274uluna,terra1untf85jwv3kt0puyyc39myxjvplagr3wstgs5s,78590840uusd,50501274uluna,terra1gqq3gd2lxy479deg5qzxyzf0rgg8vh8tt6tyd3,terra1wmuwyrt95sjk97dspfparqj2j0czdm2u5sqv35,78197886uusd,392954uusd
