TxHash,BlockHeight,voter,option,proposal_id
92B3A4633407AAB57D6038EFA975400F3B6223521413C67FC89A313489A8C7D2,7607772,terra1y07y6a0ekx45kdhvv0thzhpc5magc25d5zkvhc,VOTE_OPTION_YES,1219
CBBF1888605BEA31FC429B73B4467841320F5B829FA206EDCA674850EAEE2F23,7607754,terra1rvwhp7uk2erftrl8q707m45uhu9pxywyjxrrh2,VOTE_OPTION_YES,1188
EB1388F5EED57BA21E5979E6D826C613030C6033BF1F4AC27E6543C609E82ADD,7607758,terra1uqztyg6nv92vgrfcmyyr7ag8ktn0me6cfnm2lg,VOTE_OPTION_YES,1210
3BDB467BE7517088D84EF3BAA2B1A73907CA11DEE47C2C733190F81295AD990B,7607739,terra1nutx5mck88aq90vu690khe0pzpeax8rwtvaz40,VOTE_OPTION_NO_WITH_VETO,1219
F0A1E951B61D692169A033E8B29B45D1676B6B46587C7699F7E7FE6557B92CEA,7607730,terra1qxenl78emecnp2y82dvyt6j7g9qazlgdu8g8d0,VOTE_OPTION_ABSTAIN,1192
91CF33AFA3C9C3E2444097DCCD3FB172263F9A3D31D0B04612AD82770A42193D,7607731,terra1wy9q2az6ces2dmfvdqe7n70fftrgpqg9vcylzx,VOTE_OPTION_YES,1216
3134656A881F0784D616CD51E3D4DC91D73748C7F1423AD28BBB989888EE1F05,7607715,terra1qxenl78emecnp2y82dvyt6j7g9qazlgdu8g8d0,VOTE_OPTION_YES,1217
7F147D2BA3AC53D85E067C0FFC8F7C1875FDA3076F6302CD75B4245A15DF1719,7607708,terra1m7zczywsyn75uh7hqfzznmgqlt0rfe4teqftjl,VOTE_OPTION_YES,1219
78DD9A4B0166E027630FF5144FE808D5F4786E83BA436AA3A84668075255709E,7607694,terra1gve727ns0p3yfw060zf92t0ky074mj9aaf2juu,VOTE_OPTION_NO_WITH_VETO,1219
6D15832C54E4D2C58715F351ABF8B203A7DC6616149029A314D6BDAD0CFA3AA5,7607692,terra16vtuuvagrjs4sxypw25nh3wq4qvmyh299ncja8,VOTE_OPTION_YES,1164
3B9F96386CCA0B14344FE48D50FEEBA0729460AC92AC65C30065D84668DD2142,7607697,terra1e3vvr2gfupvsuezywfwk8ppnr5l3exctcmakxf,VOTE_OPTION_YES,1188
ADCDA3A01D93B3A7678D1FCC9D3297D693464DD6CC027513864820C80C6A9B45,7607687,terra1grdduujuysfk49uyg22gwhd25ghvnt26tffs46,VOTE_OPTION_YES,1188
A6B00D193DBD230F41A4FF2AF700243767F8C699B84AEFAD54FA39104369E5E4,7607687,terra1nqfj7ae8mrr4ngv6y25llvsxsv4scynahdgmrf,VOTE_OPTION_YES,1188
F9AF3CFD19BDFF926C60E5879466A9A9C60E2227727B4EED1C761BAD1FE218CD,7607687,terra15tnfmpm9kegdvnx98rwxjk95ejxcmy0edc966p,VOTE_OPTION_YES,1188
075FB670CF6D01CE2D8F3D565C8C21678AF62DE7A37AD6EB1243CA280BF13AE5,7607668,terra124e2fpe70ztpq5e9mqmugxer96de4hkl9kn7rt,VOTE_OPTION_YES,1216
BD37758B6D5A4D268B4136B641A5E6DCA11AE576336B73A789C24CD3D82AE980,7607663,terra1jnfsyrxrfqqm6gr43agqvj0u3z7rsu2n4y2rvm,VOTE_OPTION_NO_WITH_VETO,1213
6564DE840BE677157EC871010522AD68486BBDEB785193AF5E577CAE732F612C,7607656,terra1jnfsyrxrfqqm6gr43agqvj0u3z7rsu2n4y2rvm,VOTE_OPTION_NO_WITH_VETO,1214
C99BE2E244D29D24FC600C5C23C234285201B6521C3183EDB5A441CEB9732970,7607643,terra16vtuuvagrjs4sxypw25nh3wq4qvmyh299ncja8,VOTE_OPTION_NO,1169
3A1F7D5E42DB2083801ABB554F4AA41AE4AE7537E9105C57A64A1199BF161AF1,7607641,terra1jnfsyrxrfqqm6gr43agqvj0u3z7rsu2n4y2rvm,VOTE_OPTION_NO_WITH_VETO,1216
45CE374A7D3E2CB1A455DF86DEE2B03EE084A3DFF51110F5EBCF8CAC681600E9,7607633,terra1jnfsyrxrfqqm6gr43agqvj0u3z7rsu2n4y2rvm,VOTE_OPTION_NO_WITH_VETO,1217
43F095E239E429A2FE5ED9C0DCE93C060940A728EFB5838B6B7B5F3F1B3C994C,7607624,terra15ynacpapjqxljgcnu0e93ufn32rkajl38n29mk,VOTE_OPTION_YES,1216
20DB957560C72EC641DBE0E11B5DEEC51CDCBCA35F36D285BE6C1A36CA359EA6,7607590,terra1fv5jz05zp3q3amclw6tcg9zmc757eenhd34k0q,VOTE_OPTION_NO,1196
76BB2653825536E9A683088630ED3F4ABAAB901D86B05D72532BF77CEACB720F,7607570,terra1s3wxxlwhtj6wea84ne4nzpd5u80ucdnd5cnrnf,VOTE_OPTION_NO,1164
E9FD87EEFBD29590C6942A3FBE5B70AFC117F36B2D3D0425785E6BDE26D36F6D,7607567,terra1jcqfmavxe036t3llvuret8g707gdhyaz0gm5wm,VOTE_OPTION_YES,1188
F7772EC3F52873F65F978A7D31158D28A31E55D44A5CE50B2456D0B98EC5266F,7607553,terra18zv8yqpwlmppgzteyx9t5mgz073neqnjjz2mvx,VOTE_OPTION_YES,1211
266916CD72F91B44E7A1567291782833B9491A815BCF13F5CA7C1FF7DAB3DE33,7607551,terra1dwxsefhvmdd9ln6rml75jjdhk57aq9mp7z8aur,VOTE_OPTION_YES,1188
A034E7676F2906E53747BFA4F00823D5E3CA416FFDD4B306E99754C0B6BF21F7,7607538,terra1ugl8amv9g8aqy0rhls0pzppxa5s9gw8ll6akzl,VOTE_OPTION_NO_WITH_VETO,1169
54DA4CF6CF4059507DC4609B81A2AAAB89B9B9212C957A1732C52D7C3918CC93,7607517,terra1qrcddf3lwpxarcgl3qzfa9rcufjh4n6evqwkxw,VOTE_OPTION_YES,1216
D90110B5D8B98C31F180D1BE32531BA7C02B538599307782D6F0B2C2509C4B3E,7607519,terra1hswxy7arayd5hzs8779jkgs7zy6d76p9pmqtgv,VOTE_OPTION_YES,1188
7C99BF0EE7C85D16A3F3E4DCB7144BD11293E448652B843D63FC561C5FA5D4A7,7607507,terra1524sy6mm7aykezpy36q4wjp2tmf3r5qpcrjp9r,VOTE_OPTION_YES,1188
997AD8FADF63C35ADC153AC911788CE16B59F095F9A9FBE2EC015C4735315D8B,7607492,terra1xusm3u36aazhnvz7e9yt3zrfkn3sun7pudvc89,VOTE_OPTION_YES,1188
DE4F286678C071C4C6878201D83D4ECCC7D9412F9FD116EA803A9AB01509F745,7607485,terra10q897syerm98whrywn3y9ukvh80hue99ygygue,VOTE_OPTION_YES,1213
9A107406D7B5B0DE87D1A0D4A9F1680423580C5523620AAF94C041DB4CAC2AF5,7607485,terra1chf5g0tdhpdzy9aah5dyvmsg4es9d0uuz7gf55,VOTE_OPTION_NO,1216
5E39F19C715876EA0D0B05B3AF12FB4338190E3F42512DAFD048779AD048D1AD,7607476,terra10q897syerm98whrywn3y9ukvh80hue99ygygue,VOTE_OPTION_YES,1213
4ECFF548BA5843A3EB7D22E6089FECECEA75F64F65659B710C382F18205B7BF2,7607474,terra14rdaswcgkcueky9rkrafwycg98dt3yg96dk0jq,VOTE_OPTION_YES,1216
A05C43470FB815410501134CF7783E7AF4645F0FD241092D7CD09A2B0D529604,7607463,terra1w8crkvp77tplzc089ltha76nuph6jm3wz2zf4d,VOTE_OPTION_YES,1216
11631BB3CE78375A940357C707A2CE261F8CDC4298B259263C82B9CA04D84254,7607441,terra1vmhjfctgvturz5szhrfjf80nd4nev3g850mxed,VOTE_OPTION_YES,1188
03B18CA8DB25A82AEB0B7073C449673A50FE05DD225FE06149611C7C20CEC730,7607406,terra1chf5g0tdhpdzy9aah5dyvmsg4es9d0uuz7gf55,VOTE_OPTION_YES,1211
0A824340F6F2ABCDBCE5CCDC84903D287DE0C24E721F6D10A885ADA3C047ECAD,7607400,terra1chf5g0tdhpdzy9aah5dyvmsg4es9d0uuz7gf55,VOTE_OPTION_YES,1211
569A415C984C8CA957D8EA48DA42FA23BD8EEF98655BA1FF0C30D6F5C392B457,7607401,terra1nvj4a7c4gvwkqt8n49xv6pudz3htscavk2n8x3,VOTE_OPTION_NO_WITH_VETO,1169
76F64D2614B18C42FC62CB4B6630A036DB52918576ECCED5B62476F520DFBB8E,7607396,terra1klwpyxua8pczhh753c7tlejr53ezaz5h8dveua,VOTE_OPTION_YES,1211
05141670458D1143E0F569BACAAEED4C1DF8DDCB9C4304DD6ACF26F1DD327989,7607381,terra19usfzy9gcg52y7rk6uszqe0xnlm8fqaj3ursqs,VOTE_OPTION_YES,1188
723F92028E636FDB03F4D37C1439753ACDE4342B574813EF9D1F8B6F037ED8B4,7607380,terra1fk4smz4x0yxmtuadd8uk5fm3urldt3unfrn5nc,VOTE_OPTION_YES,1188
D765F5093534C6E948292AFD237B2E49322F2DCD9EABDDA41418E7F59B602E57,7607378,terra1chf5g0tdhpdzy9aah5dyvmsg4es9d0uuz7gf55,VOTE_OPTION_YES,1210
A7F8C8FA9A7EF9956305628C97E9B4F93F9CFBFA04658D6C3AE3C44663CF8EC1,7607378,terra16ru7mepvwj6g4rmn66ap0llm3hja4649xdnfj3,VOTE_OPTION_YES,1203
AFE7941EFE4AB9EECF0AD62412217A94CB97AC784CB1B8DF24C273F406D01193,7607375,terra1a3kw74adjwey92as3j46murn99ys25atfc79hs,VOTE_OPTION_YES,1211
3F0E474C728986D2BD9FD51A9369162F08FE895F245EDC4E57863DA99839238E,7607365,terra19usfzy9gcg52y7rk6uszqe0xnlm8fqaj3ursqs,VOTE_OPTION_YES,1164
13AF0EB1B06399AEACE4B9233BD37FDCC9F9AB07C09059E176E493A1E67EFE68,7607360,terra1a3kw74adjwey92as3j46murn99ys25atfc79hs,VOTE_OPTION_YES,1213
8849B8F47EA42ED7A1847A16622AF11A12F63253ABF2989BBE3F2F196F9BF17F,7607360,terra1nvj4a7c4gvwkqt8n49xv6pudz3htscavk2n8x3,VOTE_OPTION_YES,1203
FD0A8C0894A492C4859B181E9011919D22146621EFE28B8AF62D8CD665FAE804,7607357,terra1tzxwy6p8ky4z9tw5n8d2v3wdrnfsrul72g4s2t,VOTE_OPTION_YES,1211
B0DEB73F84C81A60BDD47059B412B73039278F630DDDF0B8BD7248DA311F67CA,7607352,terra1a3kw74adjwey92as3j46murn99ys25atfc79hs,VOTE_OPTION_YES,1214
2096D466B09B8B7EACB8235B41079D9B37B627BEC8F3B76E5E51E646AA5E2EBE,7607309,terra1z95gkyks3u82m3mzst0f3rymc2ct0gmjxj0dqa,VOTE_OPTION_YES,1188
7FDF1E377BDB730580B571133B8AE7A6FBCD8A3E93FAFA29C99296338010D806,7607286,terra1lmg3ea6syazpch4fzs4lu903uyzy8k9sw5tz04,VOTE_OPTION_YES,1205
A6789C09E7B33A681548F99BA5083348BD8CAC8DDCAC8FCC370FFEFB966E91B3,7607269,terra1lmg3ea6syazpch4fzs4lu903uyzy8k9sw5tz04,VOTE_OPTION_NO,1210
53B04D8920FD30933B68F4076BFC08FCF19422A0D0FE73DF5A3FA9DE150CA5AD,7607258,terra1lmg3ea6syazpch4fzs4lu903uyzy8k9sw5tz04,VOTE_OPTION_NO,1211
391EFA813CF78EFE118DF48AE0F042A3D9966378EEDA3EB13B171547E8D943CA,7607254,terra1cfmtl04ej08lhkmqnhln5camg848s5uyr52m40,VOTE_OPTION_YES,1192
